Age,Potential,foot,Value,Wage,Height_cm,Weight_kg,Acceleration,Sprint speed,Agility,Reactions,Balance,Stamina,Strength,International reputation,Is_On_Loan,Is_Free_Agent,Contract_Years_Left,Team_encoded,Forward Score,Midfielder Score,Defender Score,Goalkeeper Score,Position Category_Defender,Position Category_Forward,Position Category_Goalkeeper,Position Category_Midfielder
24,87,0,17.6762402900575,10.757924157061597,183,77,68,47,82.0,85,80.0,80,67,3,0,0,2,15.372760028087033,64.6,84.6,74.2,8.8,0.0,0.0,0.0,1.0
23,86,1,17.599700214609808,11.775297421715829,186,82,80,79,81.0,83,77.0,75,75,3,0,0,7,16.41786445917783,82.0,77.4,40.4,9.0,0.0,1.0,0.0,0.0
23,85,1,16.906553056777135,10.239995502805316,193,80,64,84,45.0,77,44.0,72,82,1,0,0,4,14.89395847087493,57.0,61.2,77.2,9.0,1.0,0.0,0.0,0.0
19,85,1,15.76142084987672,9.305741456739437,166,63,91,83,92.0,75,93.0,68,33,1,0,0,3,15.661111794309338,76.2,67.4,42.6,10.4,0.0,0.0,0.0,1.0
20,91,1,18.430631084706523,11.60824473564232,181,79,85,82,88.0,86,88.0,80,83,3,0,0,3,16.971758479457478,84.8,81.4,61.2,9.2,0.0,0.0,0.0,1.0
19,81,1,15.955576839107596,10.085850775128716,178,68,75,71,69.0,64,85.0,69,75,1,1,0,0,14.58675408900154,76.2,71.0,37.0,7.2,0.0,1.0,0.0,0.0
22,87,1,17.78580249038432,11.51293546492023,174,64,78,79,83.0,84,81.0,84,59,3,0,0,5,16.290313780360346,81.4,83.2,62.4,8.8,0.0,0.0,0.0,1.0
27,88,1,18.410630418199872,11.277215789596893,174,72,84,80,88.0,92,88.0,86,80,5,0,0,3,16.116812517971706,85.0,79.8,53.2,9.6,0.0,1.0,0.0,0.0
25,80,1,16.860033043306743,11.289794413577894,180,76,81,77,90.0,78,90.0,57,58,3,1,0,0,16.426881333686847,78.6,74.4,37.8,10.4,0.0,0.0,0.0,1.0
26,87,1,18.10597001281129,11.849404844423074,181,84,85,83,72.0,85,78.0,85,84,4,0,0,4,16.290313780360346,70.6,79.2,83.8,11.2,1.0,0.0,0.0,0.0
25,87,1,17.73748391404757,12.206077645517674,188,82,75,74,72.0,82,70.0,83,82,3,0,0,2,16.68959597894565,74.4,83.0,83.2,9.6,0.0,0.0,0.0,1.0
26,85,1,17.71748324774094,11.277215789596893,188,81,93,93,84.0,83,79.0,75,79,3,0,0,2,16.002465121176094,87.0,79.0,34.0,11.4,0.0,0.0,0.0,1.0
22,91,1,18.57340183955372,11.982935344196433,177,71,82,79,88.0,85,87.0,87,59,4,0,0,4,16.53923659900635,82.0,87.8,54.2,11.4,0.0,0.0,0.0,1.0
26,83,1,17.491811255187805,11.951186847493476,183,81,87,90,88.0,82,78.0,76,67,3,0,0,3,17.050428562873275,86.0,76.4,36.6,11.6,0.0,1.0,0.0,0.0
22,91,1,18.57340183955372,11.51293546492023,186,75,85,75,94.0,87,93.0,73,61,4,0,0,4,15.611724142420044,83.8,81.6,63.0,8.4,0.0,0.0,0.0,1.0
23,87,1,17.6441519761925,11.141876276228,175,70,79,79,80.0,80,76.0,78,60,3,0,0,4,16.18048417713626,78.6,82.0,65.2,9.6,0.0,0.0,0.0,1.0
21,87,0,17.453096744006448,11.097425172408933,182,70,60,63,69.0,82,71.0,69,66,3,0,0,3,15.864460564859398,65.6,81.6,75.2,9.4,0.0,0.0,0.0,1.0
19,84,1,15.009433329466964,9.39274525863144,175,74,90,93,92.0,65,93.0,61,78,1,0,0,4,13.836074326499958,81.8,62.6,49.8,9.0,0.0,1.0,0.0,0.0
19,83,1,16.588099342704055,10.275085591132717,191,75,68,71,70.0,72,73.0,84,77,1,0,0,4,16.208898104483804,72.2,78.0,79.0,11.8,0.0,0.0,0.0,1.0
20,93,1,18.72078534381011,11.695255355062796,174,66,77,71,84.0,87,86.0,92,78,4,0,0,3,17.007025944466523,76.6,88.8,83.0,9.2,0.0,0.0,0.0,1.0
19,84,1,15.520258832020865,9.546884034617923,180,77,76,75,71.0,68,71.0,91,65,1,0,0,2,15.550699553578731,68.8,67.6,66.8,9.0,1.0,0.0,0.0,0.0
19,85,1,15.520258832020865,9.546884034617923,185,80,67,66,60.0,73,60.0,70,65,1,0,0,3,15.10527715842988,67.6,72.8,68.4,13.0,0.0,0.0,0.0,1.0
20,84,1,16.300417291085605,10.463131911491969,186,80,82,89,77.0,76,58.0,79,70,1,1,0,0,14.461244364259889,76.4,72.0,67.8,8.8,0.0,0.0,0.0,1.0
39,85,1,16.648723960844016,10.933124826700707,172,66,72,65,89.0,79,90.0,69,58,3,0,0,2,15.96835649384011,73.6,84.6,71.4,10.4,0.0,0.0,0.0,1.0
36,86,1,16.951004817371683,11.775297421715829,186,81,70,71,72.0,88,83.0,76,86,5,0,0,2,16.453522411051612,80.0,79.2,46.2,10.2,0.0,1.0,0.0,0.0
36,67,1,12.691583538230216,8.294299608857235,178,74,34,52,55.0,67,74.0,73,65,1,0,0,1,13.247834499856737,58.8,71.2,63.6,11.4,0.0,0.0,0.0,1.0
32,65,1,13.07107218827772,8.699681400989514,174,65,72,71,69.0,64,78.0,64,75,1,0,0,0,13.13268814629923,68.0,65.6,62.6,14.6,0.0,0.0,0.0,1.0
31,85,0,17.61099976960838,11.461642696843066,177,75,83,76,86.0,86,87.0,76,63,4,0,0,3,16.285432873006673,82.6,83.4,43.4,5.2,0.0,0.0,0.0,1.0
27,85,1,17.565014657424058,11.884495917930655,185,77,72,78,67.0,85,68.0,79,80,3,0,0,2,16.318315356290814,69.6,77.0,84.6,11.0,1.0,0.0,0.0,0.0
28,83,0,17.426428497635523,11.082157933374816,181,78,74,73,78.0,85,77.0,79,72,3,0,0,2,16.299796719364387,80.0,81.6,45.6,10.0,0.0,1.0,0.0,0.0
25,82,1,17.249497794707484,11.982935344196433,170,68,82,80,88.0,78,90.0,72,62,3,0,0,1,16.647076007233593,78.8,79.2,37.4,10.2,0.0,0.0,0.0,1.0
19,88,1,16.118095750958314,9.39274525863144,180,66,73,58,78.0,72,75.0,79,64,1,0,0,2,14.82050930524948,67.0,76.8,63.6,9.4,0.0,0.0,0.0,1.0
19,85,1,15.955576839107596,10.819798284210286,190,85,75,76,66.0,72,63.0,67,76,1,0,0,3,16.41786445917783,65.0,67.6,74.6,10.4,1.0,0.0,0.0,0.0
18,86,0,15.76142084987672,9.61587214452889,175,67,72,68,79.0,72,76.0,74,63,1,0,0,3,15.57215497345262,67.0,75.0,63.2,10.4,0.0,0.0,0.0,1.0
17,85,1,15.096444681204078,8.294299608857235,179,68,78,80,78.0,60,70.0,67,51,1,0,0,3,16.155262041181327,72.6,67.6,26.2,9.2,0.0,0.0,0.0,1.0
18,86,1,16.300417291085605,9.90353755128617,168,66,86,81,83.0,70,76.0,65,44,1,0,0,4,13.429671974294894,76.6,69.4,37.4,9.0,0.0,0.0,0.0,1.0
18,88,0,17.19990085520835,10.714439990727769,185,80,84,82,74.0,74,68.0,73,79,1,0,0,5,16.084717593400953,81.6,74.6,39.2,11.2,0.0,1.0,0.0,0.0
33,70,1,13.527829818844936,8.517393171418904,186,80,34,40,54.0,64,64.0,48,76,2,0,0,0,13.963893166057977,45.2,58.6,71.2,10.6,1.0,0.0,0.0,0.0
33,82,1,16.52356082573315,11.51293546492023,185,84,35,36,48.0,82,51.0,68,81,3,0,0,3,15.837452966293744,58.0,78.0,81.0,13.4,0.0,0.0,0.0,1.0
32,85,1,17.0926553286923,11.561725152903833,195,88,55,57,54.0,79,49.0,40,78,3,0,0,3,16.26225606528531,42.8,54.0,32.8,83.2,0.0,0.0,1.0,0.0
30,83,1,17.370858648025116,12.07254696717504,172,67,87,75,92.0,82,85.0,76,55,3,0,0,1,16.9859350780112,82.4,80.0,30.4,9.4,0.0,1.0,0.0,0.0
28,85,1,17.804494623047066,12.04355959836804,176,72,51,55,61.0,86,77.0,87,69,3,0,0,1,16.318315356290814,69.4,87.0,75.0,10.0,0.0,0.0,0.0,1.0
28,81,1,16.61887099947687,10.645448706505872,193,86,49,46,34.0,79,58.0,39,74,2,1,0,0,15.752498836730624,40.4,49.6,28.8,79.8,0.0,0.0,1.0,0.0
26,87,1,18.20995972498239,11.561725152903833,186,77,90,89,79.0,88,68.0,81,90,4,0,0,3,15.18243337939159,86.2,71.0,52.6,10.6,0.0,1.0,0.0,0.0
27,79,0,16.489659276356317,10.778977123006351,174,78,74,64,73.0,79,78.0,77,77,3,0,0,2,16.69471978992361,71.4,76.8,76.2,8.2,0.0,0.0,0.0,1.0
25,86,1,17.697074376526267,11.884495917930655,180,91,75,76,66.0,84,71.0,68,87,3,0,0,6,16.41786445917783,76.2,78.6,84.6,10.2,1.0,0.0,0.0,0.0
25,84,1,17.46616882523204,11.156264806643742,175,79,94,96,83.0,82,85.0,82,79,3,1,0,0,16.488689264935548,87.6,73.0,35.2,9.6,0.0,1.0,0.0,0.0
24,86,1,17.61099976960838,11.461642696843066,183,76,77,81,70.0,83,70.0,80,79,2,0,0,5,16.520986292363226,70.0,80.6,83.2,10.0,1.0,0.0,0.0,0.0
27,86,1,18.09217669086922,12.154784614286667,182,74,66,66,73.0,85,79.0,90,76,4,0,0,2,16.404182302970717,73.4,87.6,79.8,11.0,0.0,0.0,0.0,1.0
23,82,1,16.588099342704055,10.518700218288163,179,68,86,83,85.0,71,76.0,79,54,1,1,0,0,14.98118046751847,78.0,72.8,54.4,10.0,0.0,0.0,0.0,1.0
23,85,1,17.281246492014,11.60824473564232,198,90,64,69,73.0,81,68.0,76,83,1,0,0,5,16.404182302970717,76.4,76.4,44.8,9.8,0.0,1.0,0.0,0.0
23,90,0,18.47422152035907,11.81303746480054,188,81,74,85,63.0,88,60.0,78,89,4,0,0,3,17.137233116557326,57.6,70.8,88.2,11.2,1.0,0.0,0.0,0.0
22,88,1,18.13299868483392,11.141876276228,181,67,94,92,92.0,81,84.0,81,61,4,0,0,9,16.082647371805173,86.0,80.2,39.0,12.0,0.0,0.0,0.0,1.0
21,82,1,16.213405921671733,10.491301994830229,191,88,64,65,62.0,76,54.0,73,79,1,0,0,4,14.94766470936331,66.4,74.4,75.4,11.4,0.0,0.0,0.0,1.0
